benchmark,algorithm,seed,n_gen,w0,w_final,w_inf,A,tau_gens,tau_frac,r2,wall_time_s,feasible
10bar,ga,11235,499,5861.720922388672,5075.561493923113,5077.649742252626,993.2240430920975,15.085448876061905,0.03023136047306995,0.963026641562814,12.111916374999964,True
10bar,ga,123,499,6865.829055541286,5078.071765368408,5076.672777299328,1887.1829164831956,22.989048108314243,0.0460702366900085,0.9914047083687967,12.410097874999337,True
10bar,ga,2024,499,5837.54506481204,5079.540788168499,5079.191714437481,961.4000502787771,16.521990576254606,0.03311020155562045,0.9648360506754929,12.46175037499961,True
10bar,ga,27182,499,5666.741728416389,5070.1917412105795,5067.0147262467935,812.3977125019333,29.46632190983388,0.05905074531028834,0.9086091899976194,12.101153458999761,True
10bar,ga,31415,499,5673.761565367425,5078.275234368322,5070.170860481487,822.6800799446368,47.76097984163156,0.09571338645617547,0.9023901781461923,12.451717500000086,True
10bar,ga,42,499,6070.114491160654,5086.820078358634,5091.711037028824,1181.7387208495213,16.95812653295529,0.033984221508928436,0.9816656235849001,12.346886583000014,True
10bar,ga,456,499,6424.253212849999,5081.333094960245,5079.607156558289,1636.3765643608624,20.095127745153718,0.04027079708447639,0.9812815558989397,12.686520084000222,True
10bar,ga,789,499,6129.42785694126,5067.624986528285,5078.634007788768,1286.3435846007164,15.720681672736818,0.03150437208965294,0.9737122740163656,12.884476916000494,True
10bar,ga,8675309,499,5208.871357267014,5078.957402377186,5073.652380299905,186.77816046063728,70.96951010167635,0.14222346713762796,0.8280576588939506,12.322060208000039,True
10bar,ga,9999,499,5977.607061354322,5062.783330110654,5070.3606200560835,1106.6845409722773,15.761841802347067,0.0315868573193328,0.9756247875094788,12.188391333000254,True
10bar,pso,123,499,6527.552547782024,5061.213863361889,5064.214573087237,1803.2897443803536,7.957663082009007,0.01594722060522847,0.9616883683149293,6.412989917000232,True
10bar,pso,2024,499,5656.355827928511,5061.04908176561,5059.648367750822,793.7227516232329,19.686087761773447,0.039451077678904704,0.9218296598170527,6.425789082999472,True
10bar,pso,42,499,6105.859875484864,5077.570818476353,5083.03102463758,1266.331800726828,43.37177961664034,0.08691739402132333,0.9453554554425756,6.455440875000022,True
10bar,pso,456,499,6116.254307077288,5062.150260402086,5065.872577965941,1341.977533672244,9.700041085009103,0.019438960090198604,0.9362437032002384,6.434394165999947,True
10bar,pso,789,499,5722.175080847855,5061.50596129835,5062.050314107472,864.2525721084957,23.066424545281212,0.04622529968994231,0.9401442838842792,6.415589917000034,True
200bar,ga,123,199,35295.59429930131,318.20573888007044,398.6745550042131,35029.86322821413,11.168988714729046,0.05612557143079923,0.99606684176585,350.4118284169999,True
200bar,ga,2024,199,26219.26930873017,318.0732958077084,444.67721895662834,26887.05815519662,12.744665361135137,0.06404354452831727,0.9887994891549292,209.59177587500017,True
200bar,ga,42,199,34841.714113276576,316.6072735302927,474.91091129543696,31313.24310127708,13.775584020708697,0.06922404030506883,0.9910175608844293,1058.8060718749998,True
200bar,ga,456,199,33532.75144444329,316.85312564032427,431.2339982458769,32664.524412074774,12.096525476292303,0.060786560182373384,0.9949488452174317,190.15297504199998,True
200bar,ga,789,199,36023.3709841055,319.25851272285183,444.543901638151,33918.19542363375,13.116830342177106,0.06591372031244777,0.9968028871860908,202.42341358400063,True
200bar,pso,123,199,36575.81463795753,316.30591609406036,220.3364318216325,36850.05820093037,14.934670732932963,0.07504859664790434,0.9935384103358977,169.31870450000042,True
200bar,pso,2024,199,28160.235031596552,315.89221550800573,316.7978749860996,28980.969972999323,9.260201564900859,0.046533676205531956,0.997450269361905,177.86581224999918,True
200bar,pso,42,199,34841.714113276576,316.1488418498593,221.507138094833,34457.710952971574,14.025592205212932,0.07048036284026599,0.9920925136071117,187.93910783299998,True
200bar,pso,456,199,39049.908933191175,321.49488007200415,361.84877228313377,39951.016164401444,11.864045114599024,0.05961831715878907,0.9979222021355559,158.7179538749997,True
200bar,pso,789,199,38756.6859542336,322.0088851177564,329.68970142877595,38099.39299165122,13.4021454866293,0.06734746475693115,0.996637889272396,157.83566891600003,True
